# This file was generated automatically from the data of the 
# models of the accelerators in the pymodels repository by the 
# function: 
#    siriuspy.optics.lattice_survey.generate_model_static_table.
#
# If any model change, please, run the script
# again and copy the generated file to replace this one.


#Magnets data 
#-----------


# Storage Ring (SI)
#---------------------------------------------------------
#Name                 Position @ center [m]
#---------------------------------------------------------
SI-09M1:MA-SFA0            203.6282      
SI-09M2:MA-QS              211.0837      
SI-09M2:MA-SFA0            211.0837      
SI-09M2:MA-QFA             211.4087      
SI-09M2:MA-FCH             211.6327      
SI-09M2:MA-FCV             211.6327      
SI-09M2:MA-CH              211.8237      
SI-09M2:MA-CV              211.8237      
SI-09M2:MA-SDA0            211.8237      
SI-09M2:MA-QDA             212.1187      
SI-09C1:MA-B1              212.8727      
SI-09C1:MA-CH              213.9717      
SI-09C1:MA-CV              213.9717      
SI-09C1:MA-SDA1            213.9717      
SI-09C1:MA-Q1              214.3167      
SI-09C1:MA-SFA1            214.7517      
SI-09C1:MA-Q2              215.1567      
SI-09C1:MA-QS              215.5017      
SI-09C1:MA-SDA2            215.5017      
SI-09C2:MA-B2              216.5322      
SI-09C2:MA-CV-1            217.6827      
SI-09C2:MA-SDA3            217.6827      
SI-09C2:MA-Q3              218.0277      
SI-09C2:MA-CH              218.4327      
SI-09C2:MA-SFA2            218.4327      
SI-09C2:MA-Q4              218.8677      
SI-09C2:MA-CV-2            219.2427      
SI-09C2:MA-FCH             219.5597      
SI-09C2:MA-FCV             219.5597      
SI-09C2:MA-QS              219.5597      
SI-09BC:MA-BC              220.3157      
SI-09C3:MA-Q4              221.7637      
SI-09C3:MA-CH              222.1987      
SI-09C3:MA-CV-1            222.1987      
SI-09C3:MA-SFB2            222.1987      
SI-09C3:MA-FCH             222.3717      
SI-09C3:MA-FCV             222.3717      
SI-09C3:MA-Q3              222.6037      
SI-09C3:MA-CV-2            222.9487      
SI-09C3:MA-QS              222.9487      
SI-09C3:MA-SDB3            222.9487      
SI-09C3:MA-B2              224.0992      
SI-09C4:MA-SDB2            225.1297      
SI-09C4:MA-Q2              225.4747      
SI-09C4:MA-SFB1            225.8797      
SI-09C4:MA-Q1              226.3147      
SI-09C4:MA-CH              226.6597      
SI-09C4:MA-CV              226.6597      
SI-09C4:MA-SDB1            226.6597      
SI-09C4:MA-B1              227.7587      
SI-10M1:MA-QDB1            228.5127      
SI-10M1:MA-QS              228.8077      
SI-10M1:MA-SDB0            228.8077      
SI-10M1:MA-QFB             229.2727      
SI-10M1:MA-CH              229.6477      
SI-10M1:MA-CV              229.6477      
SI-10M1:MA-SFB0            229.6477      
SI-10M1:MA-FCH             229.8137      
SI-10M1:MA-FCV             229.8137      
SI-10M1:MA-QDB2            229.9777      
SI-10SB:MA-QS-1            231.1606      
SI-10SB:MA-IDC-1           231.6226      
SI-10SB:MA-IDC-2           234.9283      
SI-10SB:MA-QS-2            235.3903      
SI-10M2:MA-QDB2            236.5732      
SI-10M2:MA-FCH             236.7372      
SI-10M2:MA-FCV             236.7372      
SI-10M2:MA-CH              236.9032      
SI-10M2:MA-CV              236.9032      
SI-10M2:MA-SFB0            236.9032      
SI-10M2:MA-QFB             237.2782      
SI-10M2:MA-QS              237.7432      
SI-10M2:MA-SDB0            237.7432      
SI-10M2:MA-QDB1            238.0382      
SI-10C1:MA-B1              238.7922      
SI-10C1:MA-CH              239.8912      
SI-10C1:MA-CV              239.8912      
SI-10C1:MA-SDB1            239.8912      
SI-10C1:MA-Q1              240.2362      
SI-10C1:MA-SFB1            240.6712      
SI-10C1:MA-Q2              241.0762      
SI-10C1:MA-QS              241.4212      
SI-10C1:MA-SDB2            241.4212      
SI-10C2:MA-B2              242.4517      
